foodname,allergyName,ConflictCheck
Itself,Dust,True
Fire,Shellfish,True
Seem,Mold,True
Arm,Latex,True
Finish,Latex,True
Above,Dust,True
Music,Pollen,True
Class,Mold,True
Loss,Latex,True
Stage,Mold,True
Own,Mold,True
Official,Pollen,True
Practice,Peanuts,True
Scene,Latex,True
Goal,Shellfish,True
Letter,Latex,True
Back,Pollen,True
Sport,Latex,True
Rate,Pollen,True
Million,Mold,True
Television,Shellfish,True
Easy,Dust,True
Order,Dust,True
Same,Shellfish,True
Week,Pollen,True
The,Shellfish,True
Reveal,Shellfish,True
Information,Pollen,True
Central,Dust,True
Prevent,Pollen,True
Couple,Dust,True
Conference,Dust,True
Every,Latex,True
Nation,Pollen,True
Deep,Pollen,True
Second,Shellfish,True
Purpose,Peanuts,True
Under,Peanuts,True
Attack,Dust,True
Low,Mold,True
Single,Pollen,True
Oil,Peanuts,True
Above,Shellfish,True
Someone,Peanuts,True
Stage,Peanuts,True
Billion,Shellfish,True
Skin,Mold,True
They,Mold,True
Economy,Pollen,True
Green,Latex,True
Future,Shellfish,True
Couple,Mold,True
Easy,Shellfish,True
Police,Peanuts,True
Member,Peanuts,True
Source,Latex,True
Stay,Peanuts,True
Culture,Pollen,True
Order,Shellfish,True
Under,Mold,True
Outside,Latex,True
Rather,Mold,True
Writer,Mold,True
Scene,Peanuts,True
