medicationAID,medicationBID,ConflictCheck,severity
58808744,75120427,True,Medium
23075310,49759639,True,Medium
79355588,46573733,True,High
61656630,51954262,True,Low
33730226,20468028,True,High
42882753,46829479,True,High
70839443,44121167,True,Medium
03798916,76714705,True,High
08925444,53427350,True,Medium
88169022,04576968,True,Medium
24787477,27153718,True,High
03665937,22851251,True,Medium
33277593,88837382,True,Medium
70827645,48630283,True,High
49071388,63095560,True,Medium
11996153,37391745,True,High
92436019,91276417,True,Medium
86607075,45932682,True,Low
33423024,63087056,True,Low
28388682,33560964,True,Medium
21891347,94699296,True,Low
19478851,44935892,True,Low
87645684,81988913,True,High
59679227,12848259,True,High
38938106,77084348,True,Medium
07595644,12107020,True,Low
46324232,29340410,True,Low
89128051,70547073,True,Medium
78424790,00763584,True,High
36130009,94653908,True,Low
54331287,34363263,True,Low
62581237,10937946,True,Medium
52018946,71582272,True,Medium
95495621,44183281,True,Medium
41214248,17238526,True,Low
65674566,18744309,True,High
03765804,58411587,True,Medium
94165754,28761169,True,Low
35713586,54252336,True,Medium
58517177,68189303,True,Medium
83203867,01289096,True,Low
86289665,97986460,True,High
62082708,09214914,True,Low
55286660,76779720,True,High
93841771,27608525,True,Low
53373600,95238747,True,High
65605897,06301293,True,High
55557224,16447099,True,High
47054141,75728850,True,Low
64007753,13420394,True,Medium
82294984,27153718,True,High
48497937,65605897,True,Medium
87705810,78424790,True,Low
58588672,53918062,True,High
37386671,71351563,True,High
92936447,57741650,True,High
10844403,19000147,True,Medium
78255002,91351366,True,Medium
71780175,24266133,True,Medium
04452912,86924554,True,Low
90934667,92436019,True,Medium
24303788,37128705,True,High
44665384,70491304,True,High
31425311,08423923,True,Low
44183281,08348347,True,Low
94547788,06301293,True,Low
11694484,41052671,True,Low
90626499,13664758,True,High
16030443,26223890,True,Low
35511528,38895511,True,Low
70976049,85185433,True,Low
11491063,15427281,True,Medium
28817495,11996153,True,Medium
56785770,86006510,True,High
51837657,61210021,True,High
24618979,52997185,True,Low
60314071,81988913,True,High
93233902,42173892,True,High
52865371,01582645,True,Medium
93392974,58306394,True,Medium
71759387,38727494,True,Low
22941679,09330122,True,Medium
05418226,01550438,True,Medium
23889909,74433062,True,Medium
44869321,44601038,True,Medium
12216214,81085911,True,Medium
27334059,65584718,True,Low
36218778,11653047,True,Low
46573733,27765570,True,Low
03765804,43050747,True,Low
32338932,84314606,True,High
45318377,34848594,True,Low
95853040,31891188,True,Medium
06588800,21332994,True,High
61926320,46640469,True,Low
08728450,24653326,True,Medium
24680565,41232415,True,Medium
13144049,77770215,True,Low
36411337,31218449,True,Low
75197256,54943437,True,High
81417728,52477162,True,Medium
68740942,64171402,True,Low
68670285,12758279,True,Low
12465077,64076550,True,Medium
14894919,46940771,True,High
29185470,01348079,True,Low
32994311,41338522,True,High
98189151,19442738,True,High
61210021,39832859,True,Low
90801271,27595401,True,Low
49902495,95322049,True,Low
66535827,56114768,True,Medium
72215640,74557855,True,Low
89425885,11421951,True,High
48497937,27595401,True,Medium
78255002,75207884,True,Medium
39832859,53185197,True,High
66688950,07884281,True,High
44121167,10844403,True,Medium
38296098,70839443,True,High
83631967,41214248,True,Medium
78806766,32376225,True,Low
91533983,66344029,True,High
52865371,85185433,True,Low
15329615,98563707,True,Medium
39785558,69610219,True,Medium
06301293,16633132,True,High
31201262,78921986,True,Low
70634741,07127238,True,High
45714163,98875674,True,Medium
65903755,99209217,True,High
07008760,33560964,True,Low
04039772,01289096,True,High
91019695,26335647,True,High
29340410,78806766,True,High
52018946,81417728,True,High
78494308,49480592,True,High
53015946,51837657,True,Medium
95037963,70528152,True,Low
65903755,07459174,True,Medium
03515156,61306730,True,Low
71759387,88169022,True,Medium
75259560,76971380,True,Medium
43627943,92105967,True,Low
37128705,01582200,True,Low
26223890,83761444,True,High
91252256,42004342,True,Medium
55356154,36073207,True,Low
92425522,91019695,True,Low
24488831,05263079,True,Medium
73977768,99362243,True,Medium
24766163,44121167,True,Medium
03798916,22936770,True,High
38144769,95627481,True,Low
93233902,95055327,True,High
11474720,11104889,True,Medium
46940771,06892094,True,High
91276417,50567661,True,High
93882352,90801271,True,Medium
56179482,87705810,True,High
70745717,65605897,True,Low
52224013,29770844,True,High
11653047,62581237,True,High
41604104,20102740,True,Low
16447099,18113911,True,High
39459525,33560964,True,Medium
29219364,21291911,True,Low
82559356,20619567,True,High
84049173,46519512,True,High
96308634,67915642,True,Low
05003234,95853040,True,High
85945837,87616770,True,High
67915642,46303757,True,Medium
68670285,26335647,True,Medium
62057567,82294984,True,Medium
44550463,18125946,True,Medium
19071073,01806714,True,Low
83617943,90934667,True,Medium
71351563,70446885,True,High
58061755,38545190,True,Medium
29262957,22429865,True,Low
80938310,29054315,True,Medium
38518654,85945837,True,Medium
66080784,79557605,True,Low
75197256,88257377,True,Low
88685411,72766673,True,Medium
24618979,58517177,True,High
43903114,87295987,True,High
32080166,66080784,True,High
08200984,15757992,True,High
10844403,79557605,True,High
94454928,01289096,True,High
35204030,34602463,True,Low
97003866,25967665,True,High
95853040,01038638,True,Medium
42864691,64872601,True,High
27729012,27985229,True,Medium
65232378,18983471,True,High
84460383,91965275,True,Low
32994311,86829685,True,Medium
77985558,12193849,True,High
29185470,92105967,True,High
12758279,38545190,True,Low
11263624,57136224,True,Low
35937492,12791553,True,Medium
93056453,07162687,True,Low
