medID,sideEffects,Severity
81774955,Fatigue,Moderate
46138957,Nausea,Mild
05134584,Nausea,Moderate
05134584,Dry mouth,Moderate
05134584,Fatigue,Mild
43649149,Dizziness,Moderate
12725230,Dizziness,Moderate
12725230,Headache,Severe
12725230,Nausea,Mild
28446331,Dizziness,Mild
28446331,Headache,Moderate
28446331,Nausea,Severe
41782485,Nausea,Moderate
41782485,Dizziness,Severe
41782485,Fatigue,Mild
34132094,Dizziness,Moderate
24494632,Fatigue,Mild
24494632,Dry mouth,Moderate
92745152,Headache,Mild
92745152,Dizziness,Severe
76073591,Dizziness,Moderate
80849092,Dizziness,Severe
80849092,Fatigue,Moderate
80849092,Headache,Severe
72332721,Fatigue,Mild
98187089,Headache,Moderate
90844586,Nausea,Severe
88332257,Dry mouth,Severe
90859145,Dizziness,Moderate
90859145,Nausea,Severe
24221159,Nausea,Mild
24221159,Dizziness,Mild
31967800,Headache,Mild
60275504,Dizziness,Moderate
60275504,Headache,Mild
60275504,Fatigue,Mild
30462634,Dry mouth,Moderate
30462634,Fatigue,Mild
00580281,Dry mouth,Moderate
17881334,Fatigue,Severe
17881334,Headache,Severe
17881334,Dizziness,Severe
38535214,Nausea,Mild
38535214,Fatigue,Mild
26629326,Fatigue,Mild
14653917,Nausea,Moderate
14653917,Dizziness,Moderate
14653917,Headache,Mild
51463563,Dry mouth,Moderate
51463563,Dizziness,Moderate
15862515,Nausea,Moderate
15862515,Headache,Mild
15862515,Dizziness,Severe
02183482,Headache,Severe
02183482,Dizziness,Mild
41843898,Dry mouth,Severe
41843898,Fatigue,Severe
41843898,Dizziness,Mild
94458876,Dry mouth,Severe
94458876,Fatigue,Moderate
27684490,Dry mouth,Severe
01444669,Dizziness,Mild
01444669,Fatigue,Severe
29340444,Headache,Mild
46656642,Dizziness,Severe
20477771,Dizziness,Mild
80973592,Dizziness,Severe
26854850,Nausea,Severe
95559043,Dizziness,Severe
16065280,Headache,Mild
16065280,Fatigue,Severe
16065280,Dizziness,Moderate
59375716,Dizziness,Severe
08511468,Dry mouth,Mild
08511468,Dizziness,Severe
54403161,Fatigue,Severe
54403161,Dry mouth,Moderate
56339672,Fatigue,Severe
89455626,Nausea,Mild
89455626,Fatigue,Mild
24942949,Fatigue,Severe
79804272,Nausea,Severe
79804272,Dry mouth,Severe
18990443,Nausea,Severe
18990443,Headache,Severe
18990443,Dizziness,Moderate
01438903,Dizziness,Mild
01438903,Dry mouth,Moderate
78186726,Nausea,Moderate
78186726,Dry mouth,Mild
78186726,Headache,Mild
08051996,Headache,Moderate
08051996,Nausea,Mild
01041665,Nausea,Severe
23661038,Nausea,Moderate
21717800,Nausea,Mild
21717800,Headache,Mild
21717800,Dizziness,Severe
77013761,Dry mouth,Moderate
86136418,Dizziness,Moderate
56548236,Fatigue,Severe
56548236,Dry mouth,Severe
56548236,Nausea,Moderate
92798882,Headache,Moderate
92798882,Fatigue,Severe
92798882,Dizziness,Mild
17100625,Dry mouth,Severe
17100625,Headache,Severe
17100625,Nausea,Severe
69860781,Fatigue,Severe
69860781,Headache,Severe
05808820,Dizziness,Severe
05808820,Dry mouth,Moderate
05808820,Nausea,Severe
37398779,Fatigue,Severe
37398779,Dizziness,Moderate
37398779,Nausea,Moderate
18511945,Fatigue,Moderate
81983274,Dizziness,Severe
99177789,Fatigue,Mild
99177789,Nausea,Moderate
99177789,Headache,Severe
39426451,Dizziness,Mild
39426451,Headache,Severe
17131289,Fatigue,Severe
17131289,Dry mouth,Moderate
75960661,Dizziness,Moderate
21817061,Fatigue,Moderate
21817061,Headache,Mild
21817061,Nausea,Mild
96163567,Dizziness,Severe
96163567,Nausea,Severe
43456696,Fatigue,Moderate
43456696,Headache,Moderate
43456696,Dizziness,Mild
69071679,Dizziness,Severe
69071679,Fatigue,Mild
23272111,Headache,Moderate
50935230,Nausea,Moderate
50935230,Dry mouth,Severe
38464502,Dizziness,Mild
38464502,Headache,Mild
25747503,Fatigue,Moderate
25747503,Nausea,Mild
17924314,Dry mouth,Severe
17924314,Nausea,Mild
23058605,Headache,Severe
49087165,Dizziness,Severe
49087165,Headache,Severe
49087165,Dry mouth,Severe
99032223,Dizziness,Mild
99032223,Headache,Severe
56111800,Dizziness,Moderate
56111800,Dry mouth,Moderate
77937371,Dizziness,Severe
77937371,Dry mouth,Moderate
77937371,Nausea,Moderate
41347189,Headache,Severe
41347189,Nausea,Mild
69397125,Nausea,Mild
69397125,Dry mouth,Severe
69397125,Dizziness,Mild
62633423,Dizziness,Moderate
44573124,Headache,Severe
15381080,Nausea,Severe
15381080,Headache,Mild
41128063,Headache,Severe
41128063,Fatigue,Mild
41128063,Nausea,Severe
25996295,Fatigue,Mild
25996295,Dry mouth,Moderate
70783886,Dry mouth,Severe
70783886,Fatigue,Severe
70783886,Dizziness,Moderate
94185256,Nausea,Severe
94185256,Fatigue,Mild
94185256,Dry mouth,Moderate
81706675,Dry mouth,Mild
81706675,Headache,Moderate
81706675,Dizziness,Mild
21653344,Nausea,Moderate
48595982,Nausea,Severe
48595982,Dry mouth,Mild
60059072,Fatigue,Severe
60059072,Dizziness,Severe
60059072,Headache,Mild
78289680,Dry mouth,Severe
78289680,Fatigue,Severe
09814268,Dry mouth,Moderate
09814268,Headache,Severe
05586987,Dizziness,Mild
05586987,Fatigue,Mild
16400468,Dry mouth,Mild
16400468,Headache,Mild
16400468,Dizziness,Severe
73763243,Headache,Moderate
73763243,Nausea,Moderate
73763243,Dry mouth,Mild
26588180,Dizziness,Moderate
26588180,Nausea,Severe
26588180,Dry mouth,Moderate
18718396,Nausea,Moderate
52386162,Nausea,Severe
52386162,Headache,Moderate
14587451,Dizziness,Severe
30550721,Dry mouth,Moderate
30550721,Fatigue,Mild
30550721,Headache,Severe
13549220,Fatigue,Severe
13549220,Dizziness,Mild
13549220,Dry mouth,Severe
50864452,Dizziness,Moderate
50864452,Nausea,Severe
91278192,Headache,Mild
91278192,Fatigue,Mild
91278192,Dizziness,Severe
16062494,Nausea,Severe
16778704,Dry mouth,Severe
16778704,Headache,Severe
16778704,Fatigue,Moderate
71391804,Nausea,Moderate
71391804,Headache,Moderate
71391804,Dry mouth,Severe
46683185,Dry mouth,Moderate
46683185,Headache,Mild
46683185,Dizziness,Severe
89601590,Dry mouth,Severe
89601590,Dizziness,Mild
97385492,Fatigue,Moderate
17184615,Headache,Moderate
17184615,Nausea,Mild
17184615,Dry mouth,Mild
61042040,Fatigue,Severe
61042040,Headache,Mild
61042040,Dry mouth,Moderate
60082664,Nausea,Moderate
60082664,Fatigue,Mild
60082664,Dizziness,Mild
36515797,Fatigue,Mild
36515797,Nausea,Severe
69750169,Dry mouth,Severe
69750169,Dizziness,Severe
03656769,Fatigue,Severe
03656769,Dizziness,Moderate
03656769,Dry mouth,Mild
27411037,Headache,Moderate
11611842,Dizziness,Mild
11611842,Dry mouth,Moderate
11611842,Headache,Mild
97369826,Dry mouth,Mild
97369826,Fatigue,Mild
33304854,Dizziness,Mild
33304854,Nausea,Mild
33304854,Dry mouth,Mild
97241154,Headache,Mild
78516310,Dry mouth,Mild
78516310,Nausea,Mild
20487134,Headache,Moderate
15588284,Nausea,Moderate
15588284,Headache,Moderate
15588284,Dry mouth,Severe
62972520,Nausea,Moderate
62972520,Dry mouth,Severe
36698925,Dry mouth,Severe
36698925,Dizziness,Severe
36698925,Headache,Moderate
20581902,Dry mouth,Mild
20581902,Headache,Severe
20581902,Nausea,Moderate
32923710,Headache,Severe
32923710,Dry mouth,Moderate
21079199,Dizziness,Severe
21079199,Dry mouth,Mild
28826699,Nausea,Moderate
28826699,Dizziness,Mild
28826699,Headache,Mild
48432133,Headache,Severe
48432133,Dizziness,Mild
05715733,Dizziness,Moderate
10586315,Fatigue,Severe
64467263,Dizziness,Moderate
48084793,Dry mouth,Moderate
82306817,Nausea,Severe
82306817,Dry mouth,Moderate
82306817,Fatigue,Severe
85915668,Dry mouth,Severe
44575839,Fatigue,Mild
44575839,Dizziness,Mild
91514875,Dizziness,Severe
91514875,Headache,Moderate
69995968,Headache,Mild
69995968,Nausea,Moderate
96781377,Dry mouth,Mild
02208115,Fatigue,Mild
02208115,Nausea,Severe
02208115,Headache,Moderate
14810896,Dry mouth,Severe
14810896,Headache,Mild
07519557,Fatigue,Mild
07519557,Dizziness,Mild
07519557,Dry mouth,Mild
48642394,Dry mouth,Moderate
52995144,Fatigue,Severe
52995144,Headache,Moderate
06255310,Fatigue,Severe
06255310,Dry mouth,Moderate
06255310,Nausea,Mild
96027889,Nausea,Severe
96027889,Fatigue,Mild
43171785,Dizziness,Moderate
43171785,Headache,Moderate
43171785,Dry mouth,Mild
39440816,Dizziness,Moderate
76601987,Headache,Mild
12035309,Fatigue,Severe
12035309,Headache,Severe
37939626,Nausea,Moderate
37939626,Headache,Moderate
37939626,Dry mouth,Mild
87132934,Dry mouth,Mild
87132934,Headache,Moderate
34652957,Headache,Moderate
34652957,Dizziness,Severe
85311657,Fatigue,Moderate
85311657,Headache,Moderate
85311657,Dizziness,Severe
50959950,Fatigue,Severe
50959950,Nausea,Severe
24558618,Dry mouth,Moderate
24558618,Dizziness,Mild
24558618,Headache,Severe
77462835,Nausea,Mild
77462835,Dry mouth,Mild
50543691,Nausea,Moderate
28693974,Headache,Severe
28693974,Fatigue,Severe
64807247,Dizziness,Mild
63634841,Nausea,Moderate
28681661,Fatigue,Mild
28681661,Nausea,Moderate
57536908,Dizziness,Moderate
57536908,Dry mouth,Mild
57536908,Headache,Moderate
07287108,Headache,Severe
50083104,Dizziness,Mild
50083104,Nausea,Mild
50083104,Headache,Mild
84008321,Dry mouth,Moderate
84008321,Nausea,Moderate
29384142,Nausea,Severe
29384142,Dry mouth,Severe
88370439,Headache,Moderate
88370439,Fatigue,Mild
88370439,Nausea,Severe
07860626,Fatigue,Mild
49360887,Nausea,Severe
49360887,Dry mouth,Moderate
27158125,Fatigue,Mild
92792253,Dizziness,Severe
35651272,Dizziness,Severe
35651272,Headache,Severe
71399096,Headache,Moderate
10647680,Fatigue,Moderate
10647680,Dizziness,Moderate
84015170,Dizziness,Moderate
84015170,Fatigue,Mild
85064724,Nausea,Severe
85064724,Dizziness,Moderate
32467875,Fatigue,Moderate
32467875,Nausea,Moderate
32467875,Dizziness,Mild
50015610,Dry mouth,Mild
50015610,Nausea,Mild
05107895,Headache,Severe
90695328,Dizziness,Severe
22516235,Dizziness,Mild
22516235,Fatigue,Severe
22516235,Nausea,Moderate
94370759,Headache,Severe
94370759,Dry mouth,Moderate
68054582,Dry mouth,Mild
68054582,Headache,Moderate
32526059,Fatigue,Moderate
23973109,Fatigue,Severe
23973109,Dizziness,Mild
78403744,Fatigue,Severe
78403744,Dizziness,Moderate
78403744,Dry mouth,Severe
19434991,Nausea,Moderate
59797481,Dizziness,Mild
59797481,Fatigue,Moderate
45660474,Nausea,Mild
45660474,Dry mouth,Severe
40950211,Headache,Mild
40950211,Dry mouth,Moderate
37650976,Headache,Severe
10427140,Headache,Mild
10427140,Dizziness,Mild
90138754,Fatigue,Moderate
90138754,Dizziness,Mild
90138754,Nausea,Severe
15374010,Headache,Mild
91060908,Nausea,Mild
98843163,Nausea,Severe
98843163,Dizziness,Severe
27529213,Headache,Severe
27529213,Nausea,Moderate
27529213,Dry mouth,Mild
84934657,Fatigue,Moderate
84934657,Dry mouth,Severe
84934657,Headache,Mild
40342828,Dizziness,Mild
64433795,Fatigue,Severe
64433795,Nausea,Mild
28115039,Headache,Mild
27096284,Dry mouth,Moderate
27096284,Fatigue,Moderate
27096284,Nausea,Severe
33769076,Nausea,Moderate
94512862,Fatigue,Moderate
94512862,Headache,Mild
94512862,Dizziness,Severe
10242377,Nausea,Severe
10242377,Headache,Moderate
10242377,Fatigue,Severe
27567335,Headache,Severe
27567335,Nausea,Severe
27567335,Fatigue,Severe
14450574,Headache,Severe
14450574,Dry mouth,Moderate
14450574,Nausea,Mild
78526130,Fatigue,Mild
24583272,Dry mouth,Moderate
24583272,Nausea,Mild
24583272,Headache,Moderate
35348535,Dizziness,Mild
32291716,Headache,Moderate
32291716,Fatigue,Mild
32291716,Dry mouth,Moderate
89895052,Dry mouth,Severe
89895052,Fatigue,Severe
87622765,Dry mouth,Mild
65421552,Dry mouth,Moderate
21477947,Dry mouth,Moderate
07950481,Dry mouth,Mild
07950481,Dizziness,Moderate
12614665,Dizziness,Severe
78351801,Fatigue,Moderate
81168041,Dizziness,Moderate
81168041,Headache,Severe
81168041,Fatigue,Mild
43545008,Dizziness,Moderate
43545008,Headache,Moderate
38706671,Dizziness,Moderate
47837375,Dry mouth,Mild
62704774,Fatigue,Moderate
62704774,Dry mouth,Moderate
54869885,Fatigue,Mild
54869885,Headache,Moderate
56450282,Dry mouth,Moderate
92837278,Headache,Severe
92837278,Dizziness,Moderate
00359070,Dizziness,Severe
00359070,Fatigue,Moderate
23467291,Nausea,Moderate
23467291,Dizziness,Mild
23467291,Fatigue,Moderate
69145664,Headache,Severe
27515607,Nausea,Moderate
27515607,Dry mouth,Moderate
50099542,Nausea,Mild
50099542,Dry mouth,Mild
50099542,Headache,Severe
94611513,Fatigue,Moderate
79602689,Headache,Mild
79602689,Dry mouth,Severe
79602689,Nausea,Severe
27042460,Nausea,Mild
27042460,Dry mouth,Moderate
27042460,Fatigue,Severe
85169268,Headache,Moderate
85169268,Fatigue,Moderate
77320959,Dry mouth,Moderate
01014056,Dry mouth,Moderate
01014056,Fatigue,Mild
01014056,Headache,Moderate
76853280,Fatigue,Severe
76853280,Dizziness,Severe
76853280,Dry mouth,Mild
66346313,Nausea,Mild
37298278,Headache,Moderate
37298278,Dry mouth,Severe
29603755,Dry mouth,Moderate
15570470,Dry mouth,Severe
15570470,Headache,Mild
15570470,Fatigue,Severe
42357625,Dizziness,Moderate
50257884,Headache,Mild
50257884,Fatigue,Mild
19725077,Nausea,Severe
19725077,Dry mouth,Severe
19725077,Fatigue,Mild
02958036,Fatigue,Severe
02958036,Dizziness,Severe
02958036,Nausea,Severe
82850138,Dry mouth,Moderate
64472348,Dizziness,Mild
80144141,Fatigue,Mild
07885628,Fatigue,Mild
07885628,Dizziness,Mild
79423472,Dry mouth,Severe
79423472,Headache,Mild
79423472,Dizziness,Severe
07809280,Fatigue,Moderate
77981278,Dry mouth,Severe
30217326,Nausea,Mild
52686996,Dry mouth,Mild
52686996,Headache,Severe
52686996,Fatigue,Mild
00859660,Nausea,Moderate
00859660,Headache,Moderate
00859660,Fatigue,Moderate
42086519,Dizziness,Moderate
42086519,Headache,Severe
93353485,Nausea,Severe
93353485,Dry mouth,Moderate
93353485,Fatigue,Moderate
83926202,Nausea,Mild
83926202,Dry mouth,Mild
29637661,Dizziness,Severe
51439200,Dizziness,Mild
51439200,Fatigue,Moderate
18061983,Dry mouth,Moderate
18061983,Fatigue,Moderate
18061983,Nausea,Severe
65326449,Dizziness,Moderate
65326449,Nausea,Moderate
17703458,Headache,Mild
17703458,Fatigue,Mild
26322777,Dry mouth,Severe
26322777,Headache,Mild
45618008,Fatigue,Mild
45618008,Nausea,Mild
72590149,Dizziness,Mild
72590149,Nausea,Moderate
72590149,Dry mouth,Mild
45823419,Headache,Severe
30879962,Dry mouth,Severe
30879962,Fatigue,Moderate
30879962,Dizziness,Moderate
72212448,Dizziness,Mild
72212448,Fatigue,Mild
72212448,Nausea,Moderate
83200772,Fatigue,Severe
83200772,Dry mouth,Severe
83200772,Dizziness,Mild
63523351,Nausea,Mild
63523351,Fatigue,Mild
63523351,Dry mouth,Moderate
17351188,Nausea,Moderate
18124323,Fatigue,Mild
18124323,Nausea,Mild
93963876,Headache,Severe
93963876,Fatigue,Moderate
93963876,Dry mouth,Severe
92273910,Headache,Severe
46607959,Fatigue,Mild
46607959,Headache,Moderate
63926167,Dry mouth,Mild
63926167,Headache,Moderate
59640211,Dry mouth,Severe
59640211,Fatigue,Moderate
59640211,Headache,Moderate
28360160,Fatigue,Mild
56918190,Dizziness,Moderate
56918190,Dry mouth,Moderate
56918190,Nausea,Severe
58700358,Nausea,Severe
58700358,Fatigue,Moderate
32646538,Dizziness,Severe
32646538,Fatigue,Severe
32646538,Headache,Severe
