MealPlanID,mealName,foodName1,foodName2
153617,Dog,Lose,Member
013112,Blood,Them,Before
584712,Ability,Drug,Arm
726191,Television,Buy,War
386816,North,Stuff,Discuss
317590,Half,Back,Soon
200983,Body,He,Discussion
994313,Executive,Her,Member
956951,Talk,Whether,Maybe
383828,Church,Travel,Discussion
751306,Pass,Maybe,Especially
804537,Responsibility,Sense,They
540683,Him,Before,Travel
068708,Against,Force,Ready
237169,Kid,Local,Level
405977,Week,Organization,Medical
678098,Board,Police,Ready
782409,Recognize,Couple,A
648922,Anyone,Money,Fall
160082,Thank,Back,He
178352,Adult,Back,Hour
123377,Character,Public,War
134568,Second,Owner,Morning
832892,Create,Necessary,Medical
589398,From,Wonder,Left
352180,Change,Decide,Especially
836450,Walk,Lose,Crime
613473,Test,Hour,They
348819,Camera,Half,Before
967795,Would,Public,Organization
807550,Discuss,Account,Left
348398,Evening,Base,Model
977141,Employee,Whether,Half
129280,Country,City,Left
174959,Almost,Medical,Decide
406103,Never,Itself,Medical
435379,Figure,Admit,He
242720,Hair,Couple,Local
477088,Hand,Order,Force
059716,Put,Happen,Similar
169456,Ball,Soon,Whether
957541,Few,American,He
987277,Positive,Law,Exactly
896242,Three,Cold,Oil
286292,Stuff,Reflect,Easy
740854,Push,Entire,Discuss
255178,Leave,Determine,Lose
724658,Door,Happen,Back
261494,Owner,Public,If
508736,Animal,Member,Account
266503,Say,Account,Level
135443,Difficult,Base,Fall
120593,Inside,Form,Maybe
498802,Its,Decide,Mention
708181,Seek,Experience,War
022080,And,Easy,Drug
009401,Effort,Order,Happen
274551,Evening,Fall,Law
892059,Real,College,Decide
674879,News,Model,Especially
347514,Series,A,Especially
793959,Force,Happen,Miss
536631,Hair,Member,College
098075,Build,Hour,Act
278768,Together,Agency,Soon
810565,Arrive,Attorney,Police
844045,Order,Medical,Her
182626,Cost,Happen,News
759095,Easy,Couple,Speak
458243,Bad,Happen,Speak
047090,Start,Admit,Term
019298,Energy,Lose,Oil
513710,Audience,Home,Base
875185,Pay,Entire,Place
983905,Bring,Attorney,Local
583064,Tell,Drug,Lose
777406,Medical,Decide,Her
992561,Administration,Hour,Form
726748,So,Difference,Oil
736209,Would,Couple,Finish
195548,Man,Arm,Level
915564,Perform,Maybe,Back
402978,Television,Detail,Yard
739417,Practice,The,Speak
051071,Turn,Left,Always
988817,Information,Decision,Act
317474,Myself,Public,Couple
557622,Difference,News,Make
528815,Much,Owner,Always
626380,Quality,Thing,Home
868711,Cost,Audience,Ready
180813,Never,Difference,Discuss
430951,Though,Miss,Look
551053,Central,Difference,Agency
813417,Cultural,Thing,Detail
422790,Smile,Make,Model
477989,Current,Mention,Level
071631,Authority,Her,Allow
219609,Agency,Especially,Easy
840612,Fast,Agency,Travel
050607,Laugh,Subject,Base
326717,View,Throw,Order
781888,Pass,Similar,Find
875157,Special,Medical,Especially
285535,Economic,Admit,Cold
612020,Forget,Account,Claim
702004,Music,Claim,Lose
612535,Relate,Place,Left
371901,Position,Reflect,Allow
211732,American,Company,Them
694274,Bit,Reflect,College
997228,Art,Thing,Drug
782955,Back,Level,Happen
287337,Have,Morning,However
630413,Into,Audience,Her
505395,This,Happen,The
040164,International,Always,Soon
324349,Expert,Thing,Make
316652,Window,Structure,He
231352,Cold,Industry,Form
766207,Sometimes,Couple,Father
031912,Program,Especially,Medical
926776,Notice,Always,Oil
840939,Simply,Look,Finish
231301,Generation,They,Drug
518426,Character,Before,College
109728,Work,Similar,Claim
248838,Property,Medical,Account
863770,Paper,Miss,Local
726524,Behind,American,Local
913733,Thing,Member,Her
716635,International,Organization,Happen
925856,Purpose,However,Base
870205,Begin,Order,However
482804,Wish,Especially,News
983232,Could,Always,Fall
944179,Prevent,Determine,Especially
003647,Pay,Place,Form
875765,Certain,Money,Happen
337188,Economy,Oil,Bar
728329,Money,Half,News
040206,Visit,Allow,Mention
826977,Gun,Happen,Company
526753,Protect,Industry,If
540034,Such,Home,Back
667553,Care,American,Money
287960,Phone,Police,Admit
973910,Grow,Home,Difference
519794,Morning,Entire,Agent
756815,He,Audience,Detail
502354,According,Reflect,Medical
376680,Rich,City,Always
331853,Energy,Structure,Model
227631,Stay,Her,Medical
600278,Once,Detail,They
132524,Environmental,If,Sense
373671,Easy,Public,Easy
075444,Property,Law,Drug
387440,Front,Happen,Company
394430,Realize,Police,Lose
555641,Radio,Reflect,Always
929234,Recognize,Mention,Place
406382,Particularly,Member,Itself
298296,Economic,College,Thing
336387,Professor,Travel,Fall
234812,Western,Maybe,Difference
442406,Suggest,Arm,Entire
140112,Doctor,Maybe,Wonder
579589,War,Throw,Exactly
100197,But,Make,Allow
653544,Scientist,Act,Level
426698,Set,Throughout,Happen
919314,Will,If,Home
529119,Perhaps,Home,Member
465295,Offer,Force,Determine
764509,Nothing,Home,Especially
402103,Another,Find,Maybe
233662,Sort,Look,Back
515635,Push,Especially,Term
464119,Store,Structure,Organization
551013,Hear,Agent,Allow
670910,Magazine,Order,War
900582,When,Form,Stuff
112545,One,Maybe,Law
307147,Physical,Term,Local
337370,Member,Back,American
085131,Including,Easy,Whether
947084,Source,Local,Buy
357674,Its,Public,If
554317,Pass,Bar,Act
132308,Door,Entire,Lose
118160,Protect,They,Public
615760,Class,Make,Before
449149,Both,A,Bar
846167,Meeting,Level,Her
562300,Movie,Crime,Subject
913202,Food,American,They
734966,Add,Half,Thing
218016,Me,The,Determine
401299,Court,Soon,Term
383211,Office,College,Soon
063880,Can,Hour,Force
646433,Hair,Itself,Owner
094009,Force,Necessary,Act
597726,All,Couple,Back
117335,Reality,Look,Sister
223295,Piece,Soon,Throughout
688197,Method,A,Speak
994924,Even,Whether,Fall
305275,Herself,However,Itself
235276,Here,Company,Itself
235242,Certain,Member,Local
431675,Certain,Maybe,Medical
254571,Firm,Determine,Public
436111,Value,Wonder,Thing
398409,Candidate,Form,Difference
838884,Alone,Soon,Admit
662910,Live,Account,Police
264503,After,Whether,Organization
489234,Within,Easy,Mention
726319,Inside,Ready,Act
122062,Get,However,Form
682486,Forward,Cold,Bar
551458,Soldier,Arm,Ready
344114,Population,Bar,Discuss
423951,Within,Detail,He
368959,For,Buy,Soon
881577,She,Member,American
005957,Institution,Order,City
103646,Address,Reflect,Company
660291,Without,Decide,Audience
943787,Forward,Account,Lose
093590,Summer,Soon,Allow
229531,Back,Her,The
790987,Authority,Stuff,Account
747596,Loss,Happen,Similar
337788,Late,Term,Form
296295,Wait,Wonder,Discuss
834299,Nature,Model,Force
145076,Charge,Order,Discuss
803525,Likely,Subject,Exactly
428771,Picture,Before,Look
084035,Find,Stuff,Agent
027468,Order,A,Look
104993,Doctor,The,Stuff
239436,World,Thing,Crime
865399,Reduce,Detail,Claim
620624,Fall,Base,Agency
668095,Individual,They,Base
357388,Room,Order,Finish
753963,Order,Day,Couple
838413,Candidate,Money,Term
339769,Opportunity,Industry,Account
569066,Husband,Agency,However
892009,Shoulder,Model,Easy
949168,Color,Order,Look
272113,Sure,Reflect,Sense
434529,Consumer,Finish,Couple
367841,Six,American,Crime
386043,Need,Necessary,News
539371,Number,Model,Entire
293173,Police,Local,Base
660981,Institution,Discussion,Throw
394686,Sound,Order,Easy
166581,Citizen,If,Claim
818454,View,Fall,Claim
059573,Little,Bar,Morning
354966,Least,Account,Member
719924,Factor,Term,Throughout
748606,While,Back,Admit
449364,Agency,Discussion,Structure
617164,Produce,Morning,City
564630,Probably,Always,A
916259,Training,Father,Throw
021440,Standard,Agent,Thing
024925,From,They,Decision
289484,Material,Model,Agency
674057,Visit,Determine,Especially
562537,General,Itself,Term
424684,Modern,Miss,Agency
019133,His,Determine,Police
343602,Meet,Ready,If
777914,Seat,Hour,Buy
420843,Keep,Discuss,Oil
650037,Building,Force,Travel
084573,Magazine,Sense,Travel
296015,Wear,Reflect,Happen
018849,Assume,Oil,Audience
736382,Discuss,Sense,Form
227786,Could,Account,Father
523200,His,Whether,Decide
458324,Treatment,Necessary,Discussion
965285,Recently,Especially,Lose
825347,Standard,Thing,Oil
072607,Continue,Ready,A
651905,Option,Morning,Agent
722554,And,Morning,Discussion
919910,Though,Always,Account
876950,Large,Discuss,Structure
112704,Prove,Happen,Member
151219,Occur,Level,Act
774816,Remain,News,Soon
115637,Tree,War,Subject
938934,Cut,Oil,Police
104794,Identify,College,Attorney
574973,Lawyer,Discussion,War
399699,Toward,Always,Look
656103,Nature,Place,Half
233262,Side,Sense,Medical
257468,College,Force,College
065228,Ten,Necessary,Local
007815,On,Term,Thing
078117,Wide,Ready,Easy
347108,Listen,Industry,Couple
300770,Finally,Subject,Act
210907,Resource,Industry,A
749424,Section,Public,Crime
918279,Offer,Cold,College
377408,Report,Attorney,Member
377146,Across,If,Level
399862,Open,Bar,Whether
375269,Continue,Happen,Easy
221111,Glass,Home,Happen
474093,Source,A,Act
111730,Magazine,Local,Sense
410291,Line,Sister,Similar
132686,Black,Public,Stuff
221175,Hundred,Morning,Audience
417083,Capital,Money,Organization
732214,Special,Member,Discuss
327168,Relate,Drug,Law
093392,Shoulder,Look,Finish
130909,Outside,Similar,Public
451660,Course,News,Structure
541794,Seek,Bar,Make
394062,Them,Level,Similar
707216,Trial,Thing,Organization
914151,Audience,A,Form
962670,Seven,Easy,Experience
912379,Go,Yard,American
554756,Without,Claim,Find
321430,Employee,Buy,Member
690513,Source,Term,Structure
226844,Measure,Wonder,Form
124498,Condition,Structure,Money
227189,Enjoy,Structure,Whether
965679,Recent,Arm,Discuss
789800,Crime,A,Look
213241,Far,Make,He
652377,Page,Industry,Find
954501,Trial,Force,Day
903552,Do,Cold,Soon
178689,Our,A,Company
784833,Serious,Lose,Audience
119409,Whose,Fall,Find
439589,Usually,Allow,Organization
093078,Tell,Agency,He
625560,Culture,Whether,Happen
286153,Education,Buy,Always
262823,Court,Owner,Miss
353150,Be,Couple,Happen
618345,Sign,If,Itself
085409,Within,Police,Easy
506150,Especially,Discussion,Discuss
815777,Unit,Cold,Form
869551,Wait,Entire,Especially
063872,She,Exactly,Morning
012998,Positive,Mention,Industry
502492,Best,Subject,Finish
332860,Risk,Half,Owner
531546,Within,Always,Drug
648026,Teach,Detail,Similar
580558,Others,They,However
771071,Box,Organization,Lose
138212,Pay,Crime,Back
683834,Alone,Hour,Claim
065115,Property,Base,Back
323567,You,Crime,Back
125746,Easy,Wonder,Soon
035085,Civil,Decide,Cold
450281,Decision,Bar,Discussion
570939,Discussion,Make,Father
233433,Perform,Father,Them
518594,Visit,Father,Act
861250,Challenge,Entire,Base
237104,Age,Account,Attorney
026640,Sure,Discuss,Term
322575,Rather,American,However
523024,Ball,Experience,Claim
350064,Decision,Oil,Bar
374080,Bit,Arm,Crime
013607,Painting,Lose,Agent
620548,Forget,Allow,City
017845,Last,Level,Necessary
149357,For,Before,Wonder
245535,Mother,Level,Hour
668719,Soon,Money,Order
895896,Across,Decision,Bar
951075,Political,Agent,Audience
654037,Figure,Throw,Drug
727826,Industry,Account,Cold
208272,Go,Soon,Decision
839477,While,Allow,Cold
749441,Say,Form,However
006603,Eye,Her,Reflect
920489,Call,Speak,Law
671251,Think,Always,Claim
968956,West,Whether,College
449708,Mrs,Always,Reflect
865368,Nation,Look,Stuff
666409,Tv,Arm,Throw
797386,Hospital,Decision,Base
545025,Community,Public,Home
056396,Course,Couple,Base
269266,Require,However,Maybe
760761,Matter,Miss,Base
236992,Able,A,Fall
540932,Girl,Her,News
139056,Improve,Order,Before
449906,Left,Money,Order
620957,Off,Hour,Finish
679174,Director,Half,Decide
886945,Series,Difference,Crime
961233,Lot,Make,Entire
996890,Girl,Cold,Agency
070213,Scene,Bar,Force
373690,Interest,City,Similar
101306,Act,Detail,Finish
345419,Beat,Discuss,Cold
273493,Here,Local,Member
538187,Total,Throw,Experience
255071,Even,Sister,Experience
711116,Charge,Discussion,Fall
291352,Sound,Audience,Couple
757239,Size,Member,Owner
404073,Force,Company,College
308191,Discussion,Morning,Detail
848399,Finish,Decide,Always
206242,Serve,Audience,Difference
294580,Project,Itself,Discuss
632461,Mrs,Admit,Order
737968,Write,Her,Itself
959510,Model,Exactly,College
557488,Friend,Money,Itself
292084,Goal,Crime,Soon
762974,Each,Buy,Before
696269,Set,Bar,Exactly
281850,Lawyer,Similar,Act
120198,Meet,Yard,Base
685715,Any,Back,Sister
774650,Big,Member,Yard
773777,So,Buy,Base
601847,Father,A,Find
107374,Reality,Discuss,Maybe
141596,Fill,Allow,Father
012892,Week,He,Entire
625595,During,Company,Level
808387,President,Discussion,Home
844746,Scene,Buy,Determine
789132,Member,Easy,Discuss
514195,Technology,Especially,Lose
747132,Machine,Allow,Law
762391,Event,Term,Determine
836512,They,Account,Experience
033914,Finally,Thing,Wonder
418572,Rate,Sister,If
275944,Claim,Level,Lose
873201,Option,If,Oil
953141,Approach,Agency,He
835257,Treat,Drug,Especially
844504,Little,Couple,Level
913570,Bed,Drug,Look
704429,True,Experience,Model
506450,Officer,Money,Structure
025459,Establish,Happen,College
465570,History,Finish,Itself
471261,Election,Ready,Mention
239558,Once,Organization,Money
761168,Week,Public,Speak
057186,Author,Them,Travel
169768,Animal,Back,Law
393230,Daughter,Happen,Lose
803232,Company,Ready,Easy
624534,Despite,Soon,Travel
600335,Century,Force,Allow
088704,Simple,Term,Level
733223,Son,Always,Audience
411961,Western,Home,Determine
082505,Must,Similar,Fall
336008,People,Always,He
038045,Represent,Necessary,If
648213,Leader,Model,Owner
198241,Wall,Oil,Finish
321622,Woman,Left,Local
459283,Effort,Subject,Miss
961799,System,Term,Itself
735138,Management,Attorney,Whether
125580,Authority,Subject,Travel
865799,Another,Decide,Police
383344,Or,Detail,Agency
346023,Beautiful,Yard,Buy
064692,Should,Public,Agency
516822,Woman,News,Similar
401576,Sure,Find,Model
166987,Any,War,Base
958263,Stage,Hour,Model
452667,Series,However,City
302104,Trial,Exactly,Agency
665986,Air,Left,Police
233669,Current,Back,Throw
170219,Production,Owner,Lose
972787,Open,Make,Throw
787284,Attorney,Always,Whether
273654,Purpose,Decision,Admit
131604,Piece,Crime,The
632741,Single,Organization,Bar
554517,You,Sense,Thing
785885,Site,Place,Necessary
493211,Safe,However,Model
057311,Run,Bar,Organization
623386,Area,Discuss,Owner
895362,Consider,War,Decide
911349,Social,Medical,Experience
287723,Get,Back,Audience
885525,Require,War,Detail
795273,Prevent,Crime,Decide
530685,Kind,The,Fall
637335,Agreement,Medical,Find
013349,Man,Drug,The
150968,Beautiful,Soon,Look
150601,Teach,Thing,Throughout
514343,Through,Father,Thing
253940,Process,Local,Sense
165451,Avoid,Fall,Stuff
351848,Hotel,Hour,Decision
019360,Significant,Hour,They
697361,Could,Company,Travel
324612,Society,Easy,Discussion
322778,Data,Wonder,Always
352197,Tough,Speak,Decision
302018,Line,Miss,News
901987,Analysis,Account,Form
985526,School,College,Happen
866693,Run,Arm,Organization
134597,Would,Cold,Force
073316,Yard,Itself,Similar
311272,Back,Maybe,Discuss
452490,Report,Organization,Always
196719,Morning,Money,Easy
844142,Middle,He,Account
467206,Lead,Agent,However
643394,Color,Agent,Company
857514,Name,Audience,Day
072015,Quality,Reflect,The
969049,Actually,Attorney,Travel
042709,Your,If,Make
102429,Me,Company,Discussion
223118,Growth,Them,Money
362410,Common,Level,Agency
419393,Keep,News,Place
373186,Best,Father,Account
118143,Age,Throughout,Bar
785868,Too,Decide,Audience
408785,Allow,A,Always
439567,Small,Industry,Whether
791211,Through,Claim,Lose
491118,Catch,Similar,Money
192380,Party,Form,Itself
410825,Much,Sense,Whether
298874,Receive,Lose,Mention
795100,Family,Medical,Easy
171307,Talk,Organization,Decision
062855,Yeah,Speak,Home
251364,Should,Money,Act
473702,Soon,Whether,Entire
736994,Realize,Morning,Term
298829,Offer,Experience,Member
331759,Song,American,Exactly
530179,Allow,They,Agency
776160,Perform,Order,Them
639647,Prepare,If,Happen
694647,Doctor,Police,Especially
415460,Audience,Her,Discuss
139086,Imagine,Reflect,Speak
566189,During,Detail,Owner
913834,Current,Subject,Police
082609,American,Necessary,Cold
649459,Politics,Miss,Easy
424874,Computer,Force,News
365519,Need,Attorney,Similar
053766,Your,Throughout,Buy
958897,Stage,Force,The
657706,Rather,Decision,Day
080185,Society,Cold,Model
584223,Difficult,Stuff,Couple
541953,Lose,Entire,Throughout
209438,Officer,Them,Decide
746129,Three,Necessary,Buy
427381,Old,Act,However
383524,Financial,Agency,American
330801,Party,Find,Half
659676,Maintain,Find,Happen
631853,Total,Form,Force
845925,Worker,Public,Industry
578563,Agency,Discuss,Speak
158972,Particularly,Term,Her
583485,Strategy,Find,Travel
668478,Subject,Hour,American
504187,Attention,Agency,Before
917429,Issue,Easy,Hour
905107,Middle,Sister,Wonder
309785,Move,Act,News
063241,Identify,Account,Force
287132,Who,Oil,Drug
363097,Effort,Hour,Level
386323,Security,Look,Necessary
992782,Its,Similar,Agency
483146,Respond,Agent,Back
221294,Know,Yard,Thing
134180,Concern,Sister,Term
100637,Institution,Find,Force
203143,Ok,Bar,Drug
996301,Surface,Police,Buy
640058,Week,He,Make
575405,Type,Medical,Decision
507196,Five,Back,Sister
630688,Suddenly,The,Agency
639510,Fine,Easy,Buy
576521,Term,Find,Place
838857,Break,Bar,Model
411502,Run,Finish,Thing
563391,Serve,Drug,Arm
692765,Sister,Whether,Travel
897494,Month,Experience,Soon
027845,Can,Hour,Home
712632,Easy,Term,Bar
931879,Nation,Travel,Maybe
945087,Analysis,Place,Entire
349309,Cause,Especially,Order
616326,Recognize,Agency,Level
140424,Service,Account,Half
679620,Investment,Local,Necessary
863900,Time,Find,Maybe
051549,Performance,Finish,A
219923,West,Force,Difference
091839,Generation,Couple,Experience
458794,Left,Buy,Place
444695,Common,Public,The
712997,Floor,Her,Member
076609,Choice,Home,Discuss
628859,Term,Mention,Look
368664,Again,Whether,Discuss
711200,Else,Oil,Whether
212224,Here,They,Subject
480324,Give,Mention,Always
795116,Especially,The,Day
218290,Order,Base,Thing
286860,Others,Day,Structure
276293,Require,If,Travel
061254,Each,Public,Discussion
467241,Himself,Arm,Throughout
141790,Offer,Agency,Thing
357650,Age,A,Arm
089307,Look,Fall,Cold
418782,Anyone,Father,Form
815526,Spring,Easy,Base
431263,Individual,Attorney,Structure
525409,Office,Crime,Account
468272,Civil,Buy,Account
308241,Face,City,Cold
204400,Hit,Whether,Yard
449873,Which,Experience,Entire
653246,Good,If,Similar
138026,A,Them,Father
302593,Family,Her,Force
763458,Standard,Account,Soon
436947,Speak,Back,Them
491384,Evidence,Sense,Thing
416372,Evening,Stuff,Necessary
070549,Who,Miss,Necessary
724631,Choose,Form,Thing
759183,Responsibility,Claim,Easy
739158,Class,Throw,News
492621,For,News,Mention
890053,Can,Form,Medical
286401,Wonder,Miss,Law
900184,Pm,They,Admit
785908,Early,Level,Structure
563355,Ever,Account,They
068254,Each,Stuff,News
758936,Arrive,Structure,Experience
369404,Study,Cold,Act
357891,Decide,War,Sense
339752,Explain,American,Act
435392,Vote,Medical,Structure
166583,Realize,Discuss,Necessary
821067,Effort,Admit,Itself
608199,Candidate,Sense,Stuff
293484,At,Throw,Model
395450,His,Experience,A
960100,Smile,If,Find
503234,Position,Make,Admit
255467,Air,Law,Easy
429508,Might,Cold,Couple
072285,Already,Term,Discuss
108235,Four,Structure,Wonder
700136,Entire,Lose,Drug
912062,Back,Difference,Company
891524,Require,Travel,Finish
314125,Already,Agent,Home
872448,Age,Whether,Entire
397718,Daughter,Organization,Drug
028106,Really,Reflect,Whether
210591,Three,Detail,Audience
357722,Bit,Morning,Determine
878379,Student,Them,Discuss
000330,For,Sister,Similar
772857,Along,He,College
522042,They,Audience,Hour
645230,Guy,Similar,Agent
472167,Scientist,Industry,Day
956583,Amount,Owner,Always
031118,Indeed,Base,Similar
889343,Collection,Order,Mention
642475,Generation,Yard,Them
146668,Significant,Her,Difference
917115,Order,They,Place
639378,Arm,Sense,Act
194005,Trip,Buy,Day
787912,Feeling,Find,Oil
602514,Machine,City,Morning
090143,After,Half,Throughout
116959,Standard,Them,Experience
500636,Smile,Local,Necessary
745467,It,Miss,Organization
100480,Woman,Bar,Subject
718089,Always,Base,Finish
536602,Fear,They,Decide
143014,Training,Crime,Agent
393582,Father,Couple,Local
785769,Send,Sister,City
236553,Buy,Her,Subject
421243,Focus,Lose,Before
902984,Tree,The,Money
715025,Himself,Fall,Claim
339346,Personal,Medical,He
577890,Month,Day,Make
238062,Technology,Couple,Thing
298368,Pm,Member,Experience
204482,Billion,American,A
233409,Society,Buy,Decide
401557,Send,Morning,Law
570170,Market,Agent,Back
241130,Office,Father,Maybe
939670,Cause,Buy,Force
558629,Character,Yard,Speak
069005,Wife,If,Find
315757,Heart,Bar,Medical
796266,Store,Happen,Whether
650514,Raise,Model,Organization
273201,With,Stuff,They
640086,Hour,Morning,Couple
979714,Hour,If,Similar
355530,Republican,Detail,Reflect
445779,Language,Throughout,Thing
477188,Reflect,They,Miss
930174,Trouble,Act,Her
417597,Director,Agency,Subject
295346,Seem,Order,Industry
609294,Debate,War,If
949348,Truth,Hour,Ready
238346,Exist,Find,Sense
933216,Information,American,Them
004464,Third,Them,Look
415882,Gas,Necessary,Order
954092,Per,Term,Public
672852,Issue,Company,Account
910683,Information,Law,Yard
264259,Individual,War,Reflect
249629,Stop,Audience,Speak
101104,Short,Experience,Drug
